artist,title,rank_this_week,rank_last_week,lyrics_source,lyrics_file
21 Savage & Metro Boomin,No Heart,61,50,songlyrics.com,21-savage-metro-boomin-no-heart.txt
Michael Ray,Think A Little Less,62,76,songlyrics.com,michael-ray-think-a-little-less.txt
Chris Young Featuring Vince Gill,Sober Saturday Night,63,75,songlyrics.com,chris-young-featuring-vince-gill-sober-saturday-night.txt
Khalid,Location,64,70,songlyrics.com,khalid-location.txt
Auli'i Cravalho,How Far I'll Go,65,67,songlyrics.com,aulii-cravalho-how-far-ill-go.txt
Carrie Underwood,Dirty Laundry,66,58,songlyrics.com,carrie-underwood-dirty-laundry.txt
PnB Rock,Selfish,67,59,songlyrics.com,pnb-rock-selfish.txt
Alessia Cara,How Far I'll Go,68,56,songlyrics.com,alessia-cara-how-far-ill-go.txt
Brett Eldredge,Wanna Be That Song,69,64,songlyrics.com,brett-eldredge-wanna-be-that-song.txt
Andy Grammer,Fresh Eyes,70,68,songlyrics.com,andy-grammer-fresh-eyes.txt
Eric Church Featuring Rhiannon Giddens,Kill A Word,71,74,songlyrics.com,eric-church-featuring-rhiannon-giddens-kill-a-word.txt
Big Sean,Moves,72,65,songlyrics.com,big-sean-moves.txt
DJ Luke Nasty,OTW,73,72,songlyrics.com,dj-luke-nasty-otw.txt
Brad Paisley,Today,74,92,songlyrics.com,brad-paisley-today.txt
Rae Sremmurd,Swang,75,61,songlyrics.com,rae-sremmurd-swang.txt
Childish Gambino,Redbone,76,63,songlyrics.com,childish-gambino-redbone.txt
Luis Fonsi Featuring Daddy Yankee,Despacito,77,88,songlyrics.com,luis-fonsi-featuring-daddy-yankee-despacito.txt
Maren Morris,80s Mercedes,78,82,songlyrics.com,maren-morris-80s-mercedes.txt
Brantley Gilbert,The Weekend,79,89,songlyrics.com,brantley-gilbert-the-weekend.txt
Granger Smith,If The Boot Fits,80,0,songlyrics.com,granger-smith-if-the-boot-fits.txt
Luke Bryan,Fast,81,0,songlyrics.com,luke-bryan-fast.txt
Bruno Mars,That's What I Like,82,0,songlyrics.com,bruno-mars-thats-what-i-like.txt
PARTYNEXTDOOR,Not Nice,83,95,songlyrics.com,partynextdoor-not-nice.txt
Hey Violet,Guys My Age,84,0,songlyrics.com,hey-violet-guys-my-age.txt
Rihanna,Sex With Me,85,87,songlyrics.com,rihanna-sex-with-me.txt
Lauren Alaina,Road Less Traveled,86,0,songlyrics.com,lauren-alaina-road-less-traveled.txt
Julia Michaels,Issues,87,0,songlyrics.com,julia-michaels-issues.txt
Starley,Call On Me,88,79,songlyrics.com,starley-call-on-me.txt
Marshmello,Alone,89,60,songlyrics.com,marshmello-alone.txt
Dierks Bentley,Black,90,98,songlyrics.com,dierks-bentley-black.txt
John Mayer,Love On The Weekend,91,0,songlyrics.com,john-mayer-love-on-the-weekend.txt
2 Chainz x Gucci Mane x Quavo,Good Drank,92,0,songlyrics.com,2-chainz-x-gucci-mane-x-quavo-good-drank.txt
Jason Aldean,Any Ol' Barstool,93,0,songlyrics.com,jason-aldean-any-ol-barstool.txt
Calum Scott,Dancing On My Own,94,0,songlyrics.com,calum-scott-dancing-on-my-own.txt
Drake Featuring 21 Savage,Sneakin',95,73,songlyrics.com,drake-featuring-21-savage-sneakin.txt
Old Dominion,Song For Another Time,96,83,songlyrics.com,old-dominion-song-for-another-time.txt
Lady Gaga,Million Reasons,97,0,songlyrics.com,lady-gaga-million-reasons.txt
Flume Featuring Tove Lo,Say It,98,94,songlyrics.com,flume-featuring-tove-lo-say-it.txt
Ugly God,Water,99,80,songlyrics.com,ugly-god-water.txt
Wale Featuring Lil Wayne,Running Back,100,0,songlyrics.com,wale-featuring-lil-wayne-running-back.txt
